frame_id,x,y,w,h,center_x,center_y,score,detected,predicted,used_for_trajectory,template_id
0,1581,1071,161,59,1661,1100,1.0,1,0,1,-1
1,1590,1065,161,59,1670,1094,360.0,1,0,1,-1
2,1578,1062,161,59,1658,1091,607.0,1,0,1,-1
3,1582,1054,161,59,1662,1083,614.0,1,0,1,-1
4,1578,1047,161,59,1658,1076,679.0,1,0,1,-1
5,1577,1036,161,59,1657,1065,676.0,1,0,1,-1
6,1575,1027,161,59,1655,1056,710.0,1,0,1,-1
7,1570,1016,161,59,1650,1045,586.0,1,0,1,-1
8,1571,1006,161,59,1651,1035,507.0,1,0,1,-1
9,1578,997,161,59,1658,1026,396.0,1,0,1,-1
10,1579,991,161,59,1659,1020,391.0,1,0,1,-1
11,1581,985,161,59,1661,1014,379.0,1,0,1,-1
12,1577,979,161,59,1657,1008,314.0,1,0,1,-1
13,1576,974,161,59,1656,1003,318.0,1,0,1,-1
14,1554,970,161,59,1634,999,217.0,1,0,1,-1
15,1559,964,161,59,1639,993,109.0,1,0,1,-1
16,1556,964,161,59,1636,993,130.0,1,0,1,-1
17,1563,956,161,59,1643,985,49.0,1,0,1,-1
18,1565,955,161,59,1645,984,27.0,1,0,1,-1
19,1563,955,161,59,1643,984,32.0,1,0,1,-1
20,1561,955,161,59,1641,984,34.0,1,0,1,-1
21,1561,955,161,59,1641,984,-1.0,0,1,0,-1
22,1561,955,161,59,1641,984,-1.0,0,1,0,-1
23,1561,955,161,59,1641,984,-1.0,0,1,0,-1
24,1561,955,161,59,1641,984,-1.0,0,1,0,-1
25,1561,955,161,59,1641,984,-1.0,0,1,0,-1
26,1561,955,161,59,1641,984,-1.0,0,1,0,-1
27,1561,955,161,59,1641,984,-1.0,0,1,0,-1
28,1494,966,161,59,1574,995,33.0,1,0,1,-1
29,1559,960,161,59,1639,989,66.0,1,0,1,-1
30,1559,960,161,59,1639,989,-1.0,0,1,0,-1
31,1559,960,161,59,1639,989,-1.0,0,1,0,-1
32,1559,963,161,59,1639,992,-1.0,0,1,0,-1
33,1557,959,161,59,1637,988,61.0,1,0,1,-1
34,1559,959,161,59,1639,988,76.0,1,0,1,-1
35,1557,963,161,59,1637,992,125.0,1,0,1,-1
36,1548,975,161,59,1628,1004,263.0,1,0,1,-1
37,1547,981,161,59,1627,1010,299.0,1,0,1,-1
38,1569,989,161,59,1649,1018,554.0,1,0,1,-1
39,1563,999,161,59,1643,1028,740.0,1,0,1,-1
40,1573,1010,161,59,1653,1039,700.0,1,0,1,-1
41,1573,1022,161,59,1653,1051,720.0,1,0,1,-1
42,1571,1036,161,59,1651,1065,723.0,1,0,1,-1
43,1498,1054,161,59,1578,1083,122.0,1,0,1,-1
44,1549,1070,161,59,1629,1099,480.0,1,0,1,-1
45,1488,1079,161,59,1568,1108,57.0,1,0,1,-1
46,1544,1108,161,59,1624,1137,494.0,1,0,1,-1
47,1563,1127,161,59,1643,1156,751.0,1,0,1,-1
48,1490,1132,161,59,1570,1161,52.0,1,0,1,-1
49,1543,1161,161,59,1623,1190,518.0,1,0,1,-1
50,1481,1179,161,59,1561,1208,66.0,1,0,1,-1
51,1536,1188,161,59,1616,1217,389.0,1,0,1,-1
52,1562,1203,161,59,1642,1232,756.0,1,0,1,-1
53,1565,1212,161,59,1645,1241,679.0,1,0,1,-1
54,1566,1220,161,59,1646,1249,588.0,1,0,1,-1
55,1561,1227,161,59,1641,1256,522.0,1,0,1,-1
56,1562,1231,161,59,1642,1260,409.0,1,0,1,-1
57,1542,1231,161,59,1622,1260,187.0,1,0,1,-1
58,1541,1232,161,59,1621,1261,65.0,1,0,1,-1
59,1550,1227,161,59,1630,1256,81.0,1,0,1,-1
60,1558,1231,161,59,1638,1260,259.0,1,0,1,-1
61,1556,1227,161,59,1636,1256,361.0,1,0,1,-1
62,1566,1220,161,59,1646,1249,512.0,1,0,1,-1
63,1566,1212,161,59,1646,1241,567.0,1,0,1,-1
64,1567,1200,161,59,1647,1229,577.0,1,0,1,-1
65,1565,1188,161,59,1645,1217,651.0,1,0,1,-1
66,1563,1176,161,59,1643,1205,686.0,1,0,1,-1
67,1564,1159,161,59,1644,1188,699.0,1,0,1,-1
68,1567,1140,161,59,1647,1169,633.0,1,0,1,-1
69,1547,1117,161,59,1627,1146,386.0,1,0,1,-1
70,1559,1092,161,59,1639,1121,553.0,1,0,1,-1
71,1567,1069,161,59,1647,1098,662.0,1,0,1,-1
72,1559,1044,161,59,1639,1073,762.0,1,0,1,-1
73,1561,1019,161,59,1641,1048,698.0,1,0,1,-1
74,1556,990,161,59,1636,1019,591.0,1,0,1,-1
75,1548,964,161,59,1628,993,619.0,1,0,1,-1
76,1538,936,161,59,1618,965,477.0,1,0,1,-1
77,1540,913,161,59,1620,942,498.0,1,0,1,-1
78,1550,893,161,59,1630,922,583.0,1,0,1,-1
79,1537,870,161,59,1617,899,657.0,1,0,1,-1
80,1477,859,161,59,1557,888,20.0,1,0,1,-1
81,1520,832,161,59,1600,861,635.0,1,0,1,-1
82,1520,835,161,59,1600,864,-1.0,0,1,0,-1
83,1520,838,161,59,1600,867,-1.0,0,1,0,-1
84,1520,841,161,59,1600,870,-1.0,0,1,0,-1
85,1541,777,161,59,1621,806,755.0,1,0,1,-1
86,1541,780,161,59,1621,809,-1.0,0,1,0,-1
87,1502,813,161,59,1582,842,55.0,1,0,1,-1
88,1529,751,161,59,1609,780,575.0,1,0,1,-1
89,1536,743,161,59,1616,772,591.0,1,0,1,-1
90,1539,739,161,59,1619,768,526.0,1,0,1,-1
91,1544,731,161,59,1624,760,116.0,1,0,1,-1
92,1529,730,161,59,1609,759,116.0,1,0,1,-1
93,1504,734,161,59,1584,763,59.0,1,0,1,-1
94,1504,737,161,59,1584,766,-1.0,0,1,0,-1
95,1504,740,161,59,1584,769,-1.0,0,1,0,-1
96,1504,743,161,59,1584,772,-1.0,0,1,0,-1
97,1485,729,161,59,1565,758,26.0,1,0,1,-1
98,1513,744,161,59,1593,773,55.0,1,0,1,-1
99,1538,723,161,59,1618,752,39.0,1,0,1,-1
100,1540,724,161,59,1620,753,42.0,1,0,1,-1
101,1488,730,161,59,1568,759,43.0,1,0,1,-1
102,1538,725,161,59,1618,754,36.0,1,0,1,-1
103,1537,725,161,59,1617,754,25.0,1,0,1,-1
104,1539,725,161,59,1619,754,29.0,1,0,1,-1
105,1539,728,161,59,1619,757,-1.0,0,1,0,-1
106,1539,731,161,59,1619,760,-1.0,0,1,0,-1
107,1539,734,161,59,1619,763,-1.0,0,1,0,-1
108,1539,737,161,59,1619,766,-1.0,0,1,0,-1
109,1539,740,161,59,1619,769,-1.0,0,1,0,-1
110,1539,743,161,59,1619,772,-1.0,0,1,0,-1
111,1539,746,161,59,1619,775,-1.0,0,1,0,-1
112,1539,749,161,59,1619,778,-1.0,0,1,0,-1
113,1539,752,161,59,1619,781,-1.0,0,1,0,-1
114,1539,755,161,59,1619,784,-1.0,0,1,0,-1
115,1539,758,161,59,1619,787,-1.0,0,1,0,-1
116,1551,733,161,59,1631,762,64.0,1,0,1,-1
117,1551,736,161,59,1631,765,-1.0,0,1,0,-1
118,1501,737,161,59,1581,766,118.0,1,0,1,-1
119,1499,733,161,59,1579,762,177.0,1,0,1,-1
120,1503,736,161,59,1583,765,160.0,1,0,1,-1
121,1507,733,161,59,1587,762,193.0,1,0,1,-1
122,1521,732,161,59,1601,761,301.0,1,0,1,-1
123,1511,728,161,59,1591,757,223.0,1,0,1,-1
124,1535,731,161,59,1615,760,426.0,1,0,1,-1
125,1554,737,161,59,1634,766,574.0,1,0,1,-1
126,1567,740,161,59,1647,769,639.0,1,0,1,-1
127,1577,741,161,59,1657,770,732.0,1,0,1,-1
128,1585,741,161,59,1665,770,767.0,1,0,1,-1
129,1597,740,161,59,1677,769,789.0,1,0,1,-1
130,1597,743,161,59,1677,772,-1.0,0,1,0,-1
131,1614,738,161,59,1694,767,764.0,1,0,1,-1
132,1631,739,161,59,1711,768,745.0,1,0,1,-1
133,1653,741,161,59,1733,770,744.0,1,0,1,-1
134,1653,744,161,59,1733,773,-1.0,0,1,0,-1
135,1684,740,161,59,1764,769,727.0,1,0,1,-1
136,1711,743,161,59,1791,772,779.0,1,0,1,-1
137,1711,746,161,59,1791,775,-1.0,0,1,0,-1
138,1747,743,161,59,1827,772,643.0,1,0,1,-1
139,1775,745,161,59,1855,774,751.0,1,0,1,-1
140,1799,745,161,59,1879,774,775.0,1,0,1,-1
141,1821,747,161,59,1901,776,774.0,1,0,1,-1
142,1845,748,161,59,1925,777,791.0,1,0,1,-1
143,1868,750,161,59,1948,779,729.0,1,0,1,-1
144,1894,753,161,59,1974,782,742.0,1,0,1,-1
145,1949,702,161,59,2029,731,172.0,1,0,1,-1
146,2015,644,161,59,2095,673,31.0,1,0,1,-1
147,1995,693,161,59,2075,722,40.0,1,0,1,-1
148,2039,698,161,59,2119,727,22.0,1,0,1,-1
149,2039,701,161,59,2119,730,-1.0,0,1,0,-1
150,2039,704,161,59,2119,733,-1.0,0,1,0,-1
151,2039,707,161,59,2119,736,-1.0,0,1,0,-1
152,2039,710,161,59,2119,739,-1.0,0,1,0,-1
153,2039,713,161,59,2119,742,-1.0,0,1,0,-1
154,2056,762,161,59,2136,791,753.0,1,0,1,-1
155,2067,761,161,59,2147,790,718.0,1,0,1,-1
156,2059,766,161,59,2139,795,526.0,1,0,1,-1
157,2070,764,161,59,2150,793,482.0,1,0,1,-1
158,2064,765,161,59,2144,794,294.0,1,0,1,-1
159,2089,745,161,59,2169,774,47.0,1,0,1,-1
